seed,step,day,hour,money,unlocked_quads,num_hands,num_plants,num_cows,shed_straw,shed_milk,shed_wheat,p_straw,p_milk,p_melon,opp_money,opp_quads,final_baseline_reward,is_stall,rescue_wheat_reward,rescue_hire1_reward,rescue_hire2_reward
1000,0,0,0,3000.00,1,0,0,0,0,0,0,120.00,160.00,250.00,3000.00,1,93746.00,0,137575.00,43469.00,37279.00
1000,24,1,0,47.00,1,0,17,3,0,0,16,128.00,169.00,256.00,47.00,1,93746.00,0,93701.00,93722.00,93722.00
1000,48,2,0,140.00,1,0,18,3,0,0,15,132.00,172.00,260.00,140.00,1,93746.00,0,93693.00,91345.00,80531.00
1000,72,3,0,216.00,1,0,19,3,0,0,12,135.00,175.00,262.00,216.00,1,93746.00,0,93680.00,105122.00,89553.00
1000,96,4,0,788.00,1,0,19,3,0,0,11,137.00,187.00,264.00,788.00,1,93746.00,0,93705.00,50344.00,99278.00
1000,120,5,0,621.00,1,0,19,3,0,0,35,139.00,196.00,266.00,621.00,1,93746.00,0,93682.00,92446.00,81268.00
1000,144,6,0,652.00,1,0,18,4,0,0,14,141.00,203.00,267.00,652.00,1,93746.00,0,93682.00,122944.00,122950.00
1000,168,7,0,1654.00,1,0,18,4,0,0,17,150.00,213.00,268.00,1654.00,1,93746.00,0,93647.00,133034.00,133231.00
1001,0,0,0,3000.00,1,0,0,0,0,0,0,120.00,160.00,250.00,3000.00,1,36087.00,1,62985.00,53829.00,57220.00
1001,24,1,0,47.00,1,0,17,3,0,0,16,128.00,169.00,256.00,47.00,1,36087.00,1,38377.00,36188.00,36199.00
1001,48,2,0,140.00,1,0,18,3,0,0,15,132.00,172.00,260.00,140.00,1,36087.00,1,38504.00,69453.00,59912.00
1001,72,3,0,216.00,1,0,19,3,0,0,12,135.00,175.00,262.00,216.00,1,36087.00,1,38506.00,50060.00,51511.00
1001,96,4,0,787.00,1,0,19,3,0,0,11,137.00,177.00,264.00,787.00,1,36087.00,1,38550.00,20216.00,85822.00
1001,120,5,0,620.00,1,0,19,3,0,0,35,139.00,179.00,266.00,620.00,1,36087.00,1,38516.00,36462.00,38119.00
1001,144,6,0,635.00,1,0,18,4,0,0,14,141.00,181.00,267.00,635.00,1,36087.00,1,37942.00,65987.00,38941.00
1001,168,7,0,1649.00,1,0,18,4,0,0,17,150.00,183.00,268.00,1649.00,1,36087.00,1,38587.00,32653.00,32439.00
1002,0,0,0,3000.00,1,0,0,0,0,0,0,120.00,160.00,250.00,3000.00,1,67872.00,0,74514.00,59200.00,80232.00
1002,24,1,0,47.00,1,0,17,3,0,0,16,128.00,169.00,256.00,47.00,1,67872.00,0,66261.00,67793.00,67869.00
1002,48,2,0,140.00,1,0,18,3,0,0,15,132.00,172.00,260.00,140.00,1,67872.00,0,66269.00,66767.00,70785.00
1002,72,3,0,216.00,1,0,19,3,0,0,12,135.00,175.00,262.00,216.00,1,67872.00,0,66265.00,55818.00,76474.00
1002,96,4,0,788.00,1,0,19,3,0,0,11,137.00,177.00,264.00,788.00,1,67872.00,0,66254.00,11814.00,58152.00
1002,120,5,0,621.00,1,0,19,3,0,0,35,139.00,179.00,266.00,621.00,1,67872.00,0,66273.00,62638.00,69707.00
1002,144,6,0,652.00,1,0,18,4,0,0,14,141.00,181.00,267.00,652.00,1,67872.00,0,66347.00,57257.00,60021.00
1002,168,7,0,1655.00,1,0,18,4,0,0,17,150.00,183.00,268.00,1655.00,1,67872.00,0,66270.00,69805.00,69816.00
1003,0,0,0,3000.00,1,0,0,0,0,0,0,120.00,160.00,250.00,3000.00,1,98405.00,0,123196.00,43413.00,42583.00
1003,24,1,0,47.00,1,0,17,3,0,0,16,128.00,169.00,256.00,47.00,1,98405.00,0,98479.00,98581.00,98512.00
1003,48,2,0,140.00,1,0,18,3,0,0,15,132.00,172.00,260.00,140.00,1,98405.00,0,98537.00,112307.00,109022.00
1003,72,3,0,216.00,1,0,19,3,0,0,12,135.00,175.00,262.00,216.00,1,98405.00,0,98464.00,114255.00,114534.00
1003,96,4,0,787.00,1,0,19,3,0,0,11,147.00,187.00,264.00,787.00,1,98405.00,0,98466.00,49271.00,122173.00
1003,120,5,0,620.00,1,0,19,3,0,0,35,155.00,196.00,266.00,620.00,1,98405.00,0,98466.00,99400.00,108650.00
1003,144,6,0,635.00,1,0,18,4,0,0,14,161.00,203.00,267.00,635.00,1,98405.00,0,98472.00,137695.00,90881.00
1003,168,7,0,1649.00,1,0,18,4,0,0,17,171.00,208.00,268.00,1649.00,1,98405.00,0,98183.00,114595.00,114876.00
1004,0,0,0,3000.00,1,0,0,0,0,0,0,120.00,160.00,250.00,3000.00,1,54105.00,0,63682.00,14745.00,85804.00
