seed,p_milk,cash,cow_count,shed_wheat,hands,quads,score_0,score_1,score_2,score_3,score_4,best_n,gain_vs_base4
40000,154.00,1551.00,5,10,10,2,52320.0,57940.0,57940.0,52320.0,52320.0,1,5620.0
40001,206.00,1613.00,5,10,10,2,77588.0,77224.0,76688.0,77562.0,77588.0,4,0.0
40002,154.00,1391.00,5,10,10,2,64476.0,91400.0,91400.0,64476.0,64476.0,1,26924.0
40003,216.00,1658.00,5,10,10,2,96648.0,96051.0,95521.0,96673.0,96668.0,3,5.0
40004,187.00,1509.00,5,10,10,2,53742.0,53178.0,60585.0,53742.0,53730.0,2,6855.0
40005,187.00,1528.00,5,10,10,2,64842.0,70459.0,87516.0,64842.0,64851.0,2,22665.0
40006,187.00,1509.00,5,10,10,2,101851.0,102354.0,94429.0,101851.0,101844.0,1,510.0
40007,154.00,1384.00,5,10,10,2,84839.0,79796.0,79796.0,84839.0,84839.0,4,0.0
40008,154.00,1384.00,5,10,10,2,76574.0,70575.0,70575.0,76574.0,76579.0,4,0.0
40009,187.00,1509.00,5,10,10,2,102038.0,103040.0,93128.0,102038.0,102038.0,1,1002.0
40010,206.00,1681.00,5,10,10,2,103646.0,108089.0,107590.0,103643.0,103643.0,1,4446.0
40011,154.00,1273.00,5,11,10,2,64344.0,62368.0,62368.0,64344.0,64344.0,4,0.0
40012,154.00,1387.00,5,10,10,2,30995.0,47008.0,47008.0,30995.0,30995.0,1,16013.0
40013,154.00,1273.00,5,11,10,2,67240.0,53784.0,53784.0,67240.0,67240.0,4,0.0
40014,187.00,1667.00,5,10,10,2,104865.0,110402.0,88367.0,104870.0,104870.0,1,5532.0
40015,154.00,1384.00,5,10,10,2,49946.0,67528.0,67528.0,49946.0,49946.0,1,17582.0
40016,154.00,1542.00,5,10,10,2,59571.0,73455.0,73455.0,59571.0,59571.0,1,13884.0
40017,187.00,1509.00,5,10,10,2,105482.0,105697.0,110991.0,105474.0,105482.0,2,5509.0
40018,206.00,1493.00,4,11,10,2,91545.0,91261.0,90822.0,91545.0,91545.0,4,0.0
40019,187.00,1519.00,5,10,10,2,95746.0,95229.0,107785.0,95746.0,95740.0,2,12045.0
40020,206.00,1603.00,5,10,10,2,46500.0,45794.0,45293.0,46500.0,46500.0,4,0.0
40021,187.00,1509.00,5,10,10,2,91512.0,91377.0,114942.0,91507.0,91507.0,2,23435.0
40022,206.00,1613.00,5,10,10,2,133695.0,134560.0,134062.0,133685.0,133685.0,1,875.0
40023,154.00,1462.00,5,10,10,2,103191.0,107016.0,107237.0,103191.0,103191.0,2,4046.0
40024,216.00,1655.00,5,10,10,2,84309.0,83788.0,83287.0,84309.0,84309.0,4,0.0
40025,216.00,1662.00,5,10,10,2,113944.0,115897.0,115399.0,113944.0,113944.0,1,1953.0
40026,206.00,1613.00,5,10,10,2,39717.0,39218.0,38721.0,39694.0,39717.0,4,0.0
40027,206.00,1613.00,5,10,10,2,56193.0,55914.0,55413.0,56193.0,56193.0,4,0.0
40028,206.00,1603.00,5,10,10,2,93660.0,94269.0,93771.0,93652.0,93660.0,1,609.0
40029,206.00,1603.00,5,10,10,2,42224.0,41636.0,41138.0,42238.0,42224.0,3,14.0
40030,154.00,1384.00,5,10,10,2,75393.0,77003.0,77003.0,75393.0,75393.0,1,1610.0
40031,187.00,1405.00,4,11,10,2,60669.0,62034.0,72830.0,60669.0,60669.0,2,12161.0
40032,154.00,1394.00,5,10,10,2,47798.0,48709.0,48709.0,47803.0,47803.0,1,906.0
40033,216.00,1665.00,5,10,10,2,114148.0,114420.0,113919.0,114148.0,114155.0,1,265.0
40034,187.00,1516.00,5,10,10,2,94164.0,94508.0,89858.0,94131.0,94138.0,1,370.0
40035,216.00,1655.00,5,10,10,2,112443.0,115567.0,115069.0,112443.0,112443.0,1,3124.0
40036,216.00,1655.00,5,10,10,2,96904.0,97014.0,96513.0,96904.0,96904.0,1,110.0
40037,187.00,1516.00,5,10,10,2,85577.0,86382.0,97646.0,85577.0,85577.0,2,12069.0
40038,216.00,1665.00,5,10,10,2,134157.0,135159.0,134664.0,134163.0,134157.0,1,1002.0
40039,154.00,1394.00,5,10,10,2,25243.0,24205.0,24205.0,25243.0,25243.0,4,0.0
40040,206.00,1606.00,5,10,10,2,105142.0,104815.0,104343.0,105137.0,105115.0,0,27.0
40041,206.00,1603.00,5,10,10,2,105295.0,104874.0,104373.0,105295.0,105289.0,0,6.0
40042,187.00,1676.00,5,10,10,2,62082.0,67502.0,67480.0,62082.0,62093.0,1,5409.0
40043,154.00,1542.00,5,10,10,2,78927.0,76236.0,76236.0,78923.0,78927.0,4,0.0
40044,216.00,1665.00,5,10,10,2,128486.0,125960.0,125459.0,128489.0,128486.0,3,3.0
40045,154.00,1384.00,5,10,10,2,80874.0,79353.0,79353.0,80874.0,80874.0,4,0.0
40046,216.00,1662.00,5,10,10,2,92295.0,94250.0,93749.0,92295.0,92298.0,1,1952.0
40047,206.00,1603.00,5,10,10,2,86778.0,86203.0,85705.0,86769.0,86778.0,4,0.0
40048,154.00,1391.00,5,10,10,2,36696.0,38107.0,38107.0,36696.0,36696.0,1,1411.0
40049,154.00,1560.00,5,10,10,2,48889.0,57011.0,57011.0,48889.0,48881.0,1,8130.0
40050,154.00,1384.00,5,10,10,2,90949.0,96721.0,96721.0,90949.0,90949.0,1,5772.0
40051,206.00,1603.00,5,10,10,2,80296.0,79816.0,79383.0,80296.0,80262.0,0,34.0
40052,154.00,1391.00,5,10,10,2,61772.0,66367.0,66367.0,61772.0,61766.0,1,4601.0
40053,206.00,1613.00,5,10,10,2,86116.0,87014.0,86516.0,86116.0,86099.0,1,915.0
40054,154.00,1542.00,5,10,10,2,77967.0,92336.0,92336.0,77967.0,77968.0,1,14368.0
40055,154.00,1542.00,5,10,10,2,54434.0,53750.0,53750.0,54444.0,54444.0,4,0.0
40056,154.00,1384.00,5,10,10,2,35470.0,42234.0,42234.0,35470.0,35470.0,1,6764.0
40057,206.00,1603.00,5,10,10,2,80418.0,77686.0,77185.0,80418.0,80420.0,4,0.0
40058,216.00,1551.00,4,11,10,2,141636.0,144801.0,144270.0,141636.0,141636.0,1,3165.0
40059,216.00,1662.00,5,10,10,2,86559.0,86110.0,85609.0,86562.0,86559.0,3,3.0
40060,187.00,1509.00,5,10,10,2,97016.0,98934.0,89933.0,97016.0,97008.0,1,1926.0
40061,187.00,1516.00,5,10,10,2,81952.0,81504.0,83829.0,81952.0,81950.0,2,1879.0
40062,154.00,1384.00,5,10,10,2,23811.0,24123.0,24123.0,23811.0,23811.0,1,312.0
40063,154.00,1546.00,5,10,10,2,105634.0,114581.0,114581.0,105640.0,105640.0,1,8941.0
40064,154.00,1560.00,5,10,10,2,62821.0,68812.0,68812.0,62822.0,62822.0,1,5990.0
40065,154.00,1462.00,5,10,10,2,78679.0,86360.0,86617.0,78683.0,78679.0,2,7938.0
40066,154.00,1391.00,5,10,10,2,76678.0,72629.0,72629.0,76680.0,76680.0,4,0.0
40067,216.00,1655.00,5,10,10,2,112907.0,113973.0,113474.0,112916.0,112916.0,1,1057.0
40068,154.00,1462.00,5,10,10,2,52979.0,51323.0,51536.0,52979.0,52979.0,4,0.0
40069,206.00,1610.00,5,10,10,2,54607.0,54094.0,53595.0,54607.0,54607.0,4,0.0
40070,187.00,1509.00,5,10,10,2,70298.0,72553.0,64819.0,70298.0,70306.0,1,2247.0
40071,154.00,1428.00,4,11,10,2,75260.0,76986.0,82733.0,75260.0,75260.0,2,7473.0
40072,154.00,1560.00,5,10,10,2,67105.0,76765.0,76765.0,67121.0,67121.0,1,9644.0
40073,187.00,1518.00,5,10,10,2,48122.0,47470.0,61976.0,48122.0,48122.0,2,13854.0
40074,154.00,1462.00,5,10,10,2,83596.0,104959.0,105181.0,83586.0,83596.0,2,21585.0
40075,154.00,1384.00,5,10,10,2,83468.0,92601.0,92601.0,83468.0,83468.0,1,9133.0
40076,206.00,1610.00,5,10,10,2,68147.0,69798.0,69300.0,68137.0,68137.0,1,1661.0
40077,154.00,1398.00,5,10,10,2,39919.0,36579.0,36579.0,39919.0,39919.0,4,0.0
40078,154.00,1391.00,5,10,10,2,48712.0,55712.0,55712.0,48712.0,48719.0,1,6993.0
40079,216.00,1655.00,5,10,10,2,80376.0,79786.0,79285.0,80376.0,80374.0,0,2.0
40080,206.00,1499.00,4,11,10,2,87215.0,86840.0,86617.0,87215.0,87215.0,4,0.0
40081,206.00,1610.00,5,10,10,2,83741.0,83405.0,82856.0,83741.0,83741.0,4,0.0
40082,154.00,1394.00,5,10,10,2,27889.0,26221.0,26221.0,27886.0,27889.0,4,0.0
40083,187.00,1676.00,5,10,10,2,86337.0,91584.0,82947.0,86329.0,86337.0,1,5247.0
40084,206.00,1603.00,5,10,10,2,60817.0,60246.0,59747.0,60806.0,60817.0,4,0.0
40085,154.00,1394.00,5,10,10,2,52632.0,48260.0,48260.0,52635.0,52632.0,3,3.0
40086,206.00,1603.00,5,10,10,2,64896.0,64313.0,63814.0,64896.0,64887.0,0,9.0
40087,154.00,1462.00,5,10,10,2,89155.0,81875.0,82098.0,89155.0,89164.0,4,0.0
40088,206.00,1613.00,5,10,10,2,108754.0,111325.0,110826.0,108754.0,108754.0,1,2571.0
40089,154.00,1384.00,5,10,10,2,82682.0,100164.0,100164.0,82682.0,82682.0,1,17482.0
40090,206.00,1610.00,5,10,10,2,104710.0,104656.0,104157.0,104710.0,104699.0,0,11.0
40091,154.00,1542.00,5,10,10,2,54969.0,70763.0,70763.0,54976.0,54969.0,1,15794.0
