seed,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0
80000,187.00,1509.00,5,2,10,10,2,8,6,21,102729.0,47581.0,85289.0,102729.0,105320.0,102729.0,4,2591.0
80001,216.00,1674.00,5,2,10,10,2,8,6,21,118868.0,119750.0,117896.0,118868.0,118372.0,118868.0,1,882.0
80002,216.00,1655.00,5,2,10,10,2,8,6,21,123679.0,54846.0,116624.0,123679.0,123178.0,123679.0,0,0.0
80003,154.00,1551.00,5,2,10,10,2,8,6,21,61813.0,66253.0,56457.0,61813.0,61813.0,61813.0,1,4440.0
80004,187.00,1509.00,5,2,10,10,2,8,6,21,55440.0,54936.0,59089.0,55440.0,62085.0,55440.0,4,6645.0
80005,154.00,1384.00,5,2,10,10,2,8,6,21,46012.0,74491.0,29653.0,46012.0,46012.0,46012.0,1,28479.0
80006,206.00,1481.00,4,1,12,10,2,8,6,21,64994.0,53895.0,92601.0,64994.0,65141.0,64994.0,2,27607.0
80007,187.00,1441.00,4,2,11,10,2,8,6,21,59237.0,58672.0,58175.0,59237.0,62280.0,59237.0,4,3043.0
80008,154.00,1391.00,5,2,10,10,2,8,6,21,93670.0,77244.0,61773.0,93670.0,93670.0,93670.0,0,0.0
80009,154.00,1354.00,4,2,11,10,2,8,6,21,101270.0,115028.0,113115.0,101270.0,101270.0,101270.0,1,13758.0
80010,187.00,1516.00,5,2,10,10,2,8,6,21,105534.0,111491.0,68685.0,105534.0,91290.0,105534.0,1,5957.0
80011,154.00,1542.00,5,2,10,10,2,8,6,21,65613.0,108635.0,68691.0,65613.0,65613.0,65613.0,1,43022.0
80012,216.00,1662.00,5,2,10,10,2,8,6,21,119721.0,71348.0,113463.0,119721.0,119220.0,119721.0,0,0.0
80013,216.00,1655.00,5,2,10,10,2,8,6,21,88565.0,131596.0,87714.0,88565.0,88067.0,88565.0,1,43031.0
80014,187.00,1512.00,5,2,10,10,2,8,6,21,111485.0,63421.0,115092.0,111485.0,113294.0,111485.0,2,3607.0
80015,216.00,1674.00,5,2,10,10,2,8,6,21,115920.0,116342.0,105839.0,115920.0,115419.0,115920.0,1,422.0
80016,187.00,1528.00,5,2,10,10,2,8,6,21,110607.0,76692.0,93599.0,110607.0,60753.0,110607.0,0,0.0
80017,206.00,1610.00,5,2,10,10,2,8,6,21,91831.0,81999.0,65755.0,91831.0,91289.0,91831.0,0,0.0
80018,187.00,1509.00,5,2,10,10,2,8,6,21,98520.0,81547.0,93500.0,98520.0,70564.0,98520.0,0,0.0
80019,154.00,1384.00,5,2,10,10,2,8,6,21,61313.0,44656.0,80391.0,61313.0,61313.0,61313.0,2,19078.0
80020,187.00,1509.00,5,2,10,10,2,8,6,21,44743.0,60888.0,85749.0,44743.0,62996.0,44743.0,2,41006.0
80021,154.00,1394.00,5,2,10,10,2,8,6,21,49772.0,102505.0,70717.0,49772.0,49772.0,49772.0,1,52733.0
80022,216.00,1655.00,5,2,10,10,2,8,6,21,123267.0,104410.0,94195.0,123267.0,122766.0,123267.0,0,0.0
80023,187.00,1522.00,5,2,10,10,2,8,6,21,70853.0,86651.0,85415.0,70853.0,78604.0,70853.0,1,15798.0
80024,154.00,1391.00,5,2,10,10,2,8,6,21,73079.0,49854.0,79482.0,73079.0,73079.0,73079.0,2,6403.0
80025,154.00,1384.00,5,2,10,10,2,8,6,21,76789.0,88522.0,66898.0,76789.0,76789.0,76789.0,1,11733.0
80026,216.00,1665.00,5,2,10,10,2,8,6,21,108259.0,126740.0,101780.0,108259.0,107716.0,108259.0,1,18481.0
80027,216.00,1662.00,5,2,10,10,2,8,6,21,102258.0,128090.0,111828.0,102258.0,101757.0,102258.0,1,25832.0
80028,154.00,1542.00,5,2,10,10,2,8,6,21,97135.0,117573.0,97240.0,97135.0,97135.0,97135.0,1,20438.0
80029,154.00,1394.00,5,2,10,10,2,8,6,21,59851.0,42494.0,55336.0,59851.0,59851.0,59851.0,0,0.0
80030,206.00,1610.00,5,2,10,10,2,8,6,21,50620.0,37902.0,75277.0,50620.0,50119.0,50620.0,2,24657.0
80031,187.00,1509.00,5,2,10,10,2,8,6,21,81860.0,46687.0,69294.0,81860.0,70325.0,81860.0,0,0.0
80032,206.00,1693.00,5,2,10,10,2,8,6,21,144479.0,59270.0,101650.0,144479.0,143979.0,144479.0,0,0.0
80033,206.00,1622.00,5,2,10,10,2,8,6,21,120317.0,67562.0,76827.0,120345.0,119848.0,120317.0,0,0.0
80034,187.00,1509.00,5,2,10,10,2,8,6,21,88935.0,122398.0,77553.0,88935.0,67863.0,88935.0,1,33463.0
80035,187.00,1509.00,5,2,10,10,2,8,6,21,78412.0,67230.0,68308.0,78412.0,82753.0,78412.0,4,4341.0
80036,154.00,1391.00,5,2,10,10,2,8,6,21,73010.0,41480.0,61923.0,73010.0,73010.0,73010.0,0,0.0
80037,206.00,1613.00,5,2,10,10,2,8,6,21,84821.0,84240.0,114877.0,84821.0,84320.0,84821.0,2,30056.0
80038,206.00,1538.00,4,2,11,10,2,8,6,21,51663.0,51732.0,71666.0,51675.0,74576.0,51663.0,4,22913.0
80039,216.00,1665.00,5,2,10,10,2,8,6,21,86928.0,62224.0,97267.0,86928.0,86430.0,86928.0,2,10339.0
80040,206.00,1613.00,5,2,10,10,2,8,6,21,71144.0,96463.0,74865.0,71144.0,70646.0,71144.0,1,25319.0
80041,154.00,1384.00,5,2,10,10,2,8,6,21,66046.0,78040.0,63100.0,66046.0,66046.0,66046.0,1,11994.0
80042,206.00,1603.00,5,2,10,10,2,8,6,21,103011.0,95612.0,103393.0,103011.0,102513.0,103011.0,2,382.0
80043,154.00,1403.00,5,2,10,10,2,8,6,21,49705.0,79149.0,35035.0,49705.0,49698.0,49705.0,1,29444.0
80044,187.00,1667.00,5,2,10,10,2,8,6,21,103501.0,120024.0,105969.0,103501.0,116211.0,103501.0,1,16523.0
80045,187.00,1516.00,5,2,10,10,2,8,6,21,97727.0,77143.0,76530.0,97727.0,93113.0,97727.0,0,0.0
80046,206.00,1492.00,5,1,11,10,2,8,6,21,62514.0,81268.0,71659.0,62514.0,77233.0,62514.0,1,18754.0
80047,206.00,1613.00,5,2,10,10,2,8,6,21,80244.0,92389.0,103869.0,80244.0,79743.0,80244.0,2,23625.0
80048,206.00,1603.00,5,2,10,10,2,8,6,21,54983.0,77856.0,33084.0,54983.0,54482.0,54983.0,1,22873.0
80049,154.00,1391.00,5,2,10,10,2,8,6,21,39716.0,104194.0,25317.0,39716.0,39716.0,39716.0,1,64478.0
80050,206.00,1603.00,5,2,10,10,2,8,6,21,63490.0,84869.0,61558.0,63490.0,62991.0,63490.0,1,21379.0
80051,154.00,1391.00,5,2,10,10,2,8,6,21,43192.0,46297.0,46229.0,43192.0,43192.0,43192.0,1,3105.0
80052,206.00,1610.00,5,2,10,10,2,8,6,21,56610.0,77516.0,55498.0,56610.0,56111.0,56610.0,1,20906.0
80053,154.00,1462.00,5,2,10,10,2,8,6,21,56173.0,59592.0,55869.0,56173.0,56423.0,56173.0,1,3419.0
80054,206.00,1610.00,5,2,10,10,2,8,6,21,77053.0,34087.0,82949.0,77053.0,76555.0,77053.0,2,5896.0
80055,206.00,1613.00,5,2,10,10,2,8,6,21,91931.0,74799.0,61365.0,91931.0,91432.0,91931.0,0,0.0
80056,154.00,1394.00,5,2,10,10,2,8,6,21,56681.0,99087.0,49242.0,56681.0,56681.0,56681.0,1,42406.0
80057,154.00,1394.00,5,2,10,10,2,8,6,21,35130.0,70190.0,45429.0,35130.0,35130.0,35130.0,1,35060.0
80058,216.00,1655.00,5,2,10,10,2,8,6,21,128455.0,126880.0,116624.0,128455.0,127954.0,128455.0,0,0.0
80059,216.00,1655.00,5,2,10,10,2,8,6,21,103072.0,88469.0,122764.0,103072.0,102573.0,103072.0,2,19692.0
80060,187.00,1509.00,5,2,10,10,2,8,6,21,107786.0,82711.0,105953.0,107882.0,100766.0,107786.0,3,96.0
80061,187.00,1509.00,5,2,10,10,2,8,6,21,93772.0,34197.0,107664.0,93772.0,108840.0,93772.0,4,15068.0
80062,206.00,1499.00,4,2,11,10,2,8,6,21,83157.0,83176.0,102832.0,83145.0,82888.0,83157.0,2,19675.0
80063,206.00,1603.00,5,2,10,10,2,8,6,21,80258.0,72517.0,103743.0,80258.0,79759.0,80258.0,2,23485.0
80064,154.00,1560.00,5,2,10,10,2,8,6,21,59707.0,56449.0,57341.0,59707.0,59707.0,59707.0,0,0.0
80065,206.00,1613.00,5,2,10,10,2,8,6,21,90873.0,54639.0,92153.0,90873.0,90375.0,90873.0,2,1280.0
80066,154.00,1384.00,5,2,10,10,2,8,6,21,66549.0,74042.0,67371.0,66549.0,66549.0,66549.0,1,7493.0
80067,187.00,1667.00,5,2,10,10,2,8,6,21,80900.0,109726.0,79873.0,80900.0,96079.0,80900.0,1,28826.0
80068,216.00,1665.00,5,2,10,10,2,8,6,21,83776.0,83275.0,109818.0,83776.0,83275.0,83776.0,2,26042.0
80069,187.00,1553.00,4,2,11,10,2,8,6,21,96080.0,94215.0,107327.0,96080.0,70368.0,96080.0,2,11247.0
80070,154.00,1286.00,5,1,11,10,2,8,6,21,48110.0,41389.0,38772.0,48110.0,48110.0,48110.0,0,0.0
80071,187.00,1519.00,5,2,10,10,2,8,6,21,63759.0,97578.0,83860.0,63759.0,65617.0,63759.0,1,33819.0
80072,154.00,1391.00,5,2,10,10,2,8,6,21,42824.0,60969.0,66416.0,42824.0,42824.0,42824.0,2,23592.0
80073,154.00,1384.00,5,2,10,10,2,8,6,21,41031.0,66539.0,64812.0,41031.0,41031.0,41031.0,1,25508.0
80074,154.00,1560.00,5,2,10,10,2,8,6,21,70109.0,70807.0,69216.0,70109.0,70109.0,70109.0,1,698.0
80075,187.00,1509.00,5,2,10,10,2,8,6,21,56673.0,72702.0,77100.0,56673.0,81754.0,56673.0,4,25081.0
80076,206.00,1603.00,5,2,10,10,2,8,6,21,80839.0,97203.0,79763.0,80839.0,80340.0,80839.0,1,16364.0
80077,187.00,1509.00,5,2,10,10,2,8,6,21,84188.0,67624.0,64604.0,84188.0,84134.0,84188.0,0,0.0
80078,154.00,1427.00,5,1,11,10,2,8,6,21,86063.0,69468.0,84030.0,86063.0,75639.0,86063.0,0,0.0
80079,187.00,1528.00,5,2,10,10,2,8,6,21,95548.0,69706.0,62356.0,95548.0,91888.0,95548.0,0,0.0
80080,206.00,1610.00,5,2,10,10,2,8,6,21,57298.0,76689.0,83177.0,57298.0,56798.0,57298.0,2,25879.0
80081,206.00,1613.00,5,2,10,10,2,8,6,21,51848.0,38398.0,77929.0,51848.0,51347.0,51848.0,2,26081.0
80082,206.00,1613.00,5,2,10,10,2,8,6,21,104212.0,131851.0,111764.0,104212.0,103711.0,104212.0,1,27639.0
80083,154.00,1391.00,5,2,10,10,2,8,6,21,58388.0,59759.0,59639.0,58388.0,58388.0,58388.0,1,1371.0
80084,206.00,1613.00,5,2,10,10,2,8,6,21,64997.0,101551.0,81020.0,64997.0,64496.0,64997.0,1,36554.0
80085,187.00,1509.00,5,2,10,10,2,8,6,21,58081.0,30949.0,61218.0,58081.0,66864.0,58081.0,4,8783.0
80086,154.00,1560.00,5,2,10,10,2,8,6,21,59251.0,68779.0,79505.0,59251.0,59251.0,59251.0,2,20254.0
80087,154.00,1394.00,5,2,10,10,2,8,6,21,82389.0,90721.0,35536.0,82389.0,82389.0,82389.0,1,8332.0
80088,216.00,1655.00,5,2,10,10,2,8,6,21,120651.0,41061.0,103094.0,120651.0,120150.0,120651.0,0,0.0
80089,154.00,1542.00,5,2,10,10,2,8,6,21,58248.0,22480.0,58399.0,58248.0,58248.0,58248.0,2,151.0
80090,154.00,1462.00,5,2,10,10,2,8,6,21,104203.0,103930.0,101543.0,104203.0,104429.0,104203.0,4,226.0
80091,206.00,1603.00,5,2,10,10,2,8,6,21,79241.0,107314.0,80216.0,79241.0,78740.0,79241.0,1,28073.0
80092,206.00,1613.00,5,2,10,10,2,8,6,21,96937.0,108981.0,78842.0,96937.0,96436.0,96937.0,1,12044.0
80093,187.00,1559.00,5,1,11,10,2,8,6,21,91263.0,66009.0,65560.0,91263.0,120135.0,91263.0,4,28872.0
80094,154.00,1384.00,5,2,10,10,2,8,6,21,98665.0,85376.0,78065.0,98665.0,98665.0,98665.0,0,0.0
80095,216.00,1655.00,5,2,10,10,2,8,6,21,113488.0,99956.0,115744.0,113488.0,112990.0,113488.0,2,2256.0
80096,206.00,1610.00,5,2,10,10,2,8,6,21,69382.0,116024.0,79530.0,69382.0,68884.0,69382.0,1,46642.0
80097,206.00,1610.00,5,2,10,10,2,8,6,21,85348.0,37300.0,95725.0,85348.0,84849.0,85348.0,2,10377.0
80098,216.00,1665.00,5,2,10,10,2,8,6,21,77288.0,48272.0,93866.0,77288.0,76787.0,77288.0,2,16578.0
80099,206.00,1603.00,5,2,10,10,2,8,6,21,95462.0,64242.0,73382.0,95462.0,94961.0,95462.0,0,0.0
80100,154.00,1394.00,5,2,10,10,2,8,6,21,69698.0,113895.0,40101.0,69698.0,69698.0,69698.0,1,44197.0
80101,154.00,1384.00,5,2,10,10,2,8,6,21,75989.0,94340.0,100946.0,75989.0,75989.0,75989.0,2,24957.0
80102,187.00,1528.00,5,2,10,10,2,8,6,21,50626.0,59251.0,88083.0,50626.0,51782.0,50626.0,2,37457.0
80103,154.00,1542.00,5,2,10,10,2,8,6,21,69464.0,42738.0,85717.0,69464.0,69464.0,69464.0,2,16253.0
80104,154.00,1394.00,5,2,10,10,2,8,6,21,43918.0,50158.0,25324.0,43918.0,43918.0,43918.0,1,6240.0
80105,154.00,1560.00,5,2,10,10,2,8,6,21,68330.0,66199.0,53456.0,68330.0,68330.0,68330.0,0,0.0
80106,154.00,1474.00,5,2,10,10,2,8,6,21,87544.0,75251.0,56770.0,87544.0,87544.0,87544.0,0,0.0
80107,206.00,1613.00,5,2,10,10,2,8,6,21,88255.0,73436.0,90964.0,88255.0,87757.0,88255.0,2,2709.0
80108,154.00,1394.00,5,2,10,10,2,8,6,21,47702.0,30632.0,62220.0,47702.0,47702.0,47702.0,2,14518.0
80109,154.00,1542.00,5,2,10,10,2,8,6,21,80082.0,80808.0,82625.0,80082.0,80082.0,80082.0,2,2543.0
80110,187.00,1519.00,5,2,10,10,2,8,6,21,77548.0,60349.0,56083.0,77548.0,85760.0,77548.0,4,8212.0
80111,206.00,1610.00,5,2,10,10,2,8,6,21,69162.0,77654.0,70471.0,69162.0,68661.0,69162.0,1,8492.0
80112,187.00,1509.00,5,2,10,10,2,8,6,21,54049.0,64784.0,52489.0,54049.0,41839.0,54049.0,1,10735.0
80113,206.00,1610.00,5,2,10,10,2,8,6,21,103523.0,116149.0,93351.0,103523.0,102988.0,103523.0,1,12626.0
80114,187.00,1519.00,5,2,10,10,2,8,6,21,82189.0,92673.0,49874.0,82189.0,90670.0,82189.0,1,10484.0
80115,206.00,1681.00,5,2,10,10,2,8,6,21,68079.0,53370.0,78926.0,68079.0,67578.0,68079.0,2,10847.0
80116,216.00,1661.00,5,2,10,10,2,8,6,21,117575.0,119638.0,115712.0,117575.0,117110.0,117575.0,1,2063.0
80117,216.00,1655.00,5,2,10,10,2,8,6,21,88884.0,41530.0,72096.0,88884.0,88383.0,88884.0,0,0.0
80118,187.00,1509.00,5,2,10,10,2,8,6,21,85333.0,65834.0,67758.0,85333.0,84079.0,85333.0,0,0.0
80119,154.00,1560.00,5,2,10,10,2,8,6,21,71040.0,67564.0,64764.0,71040.0,71040.0,71040.0,0,0.0
80120,206.00,1613.00,5,2,10,10,2,8,6,21,89198.0,38529.0,68436.0,89198.0,88700.0,89198.0,0,0.0
80121,154.00,1384.00,5,2,10,10,2,8,6,21,86491.0,64596.0,73186.0,86491.0,86491.0,86491.0,0,0.0
80122,187.00,1516.00,5,2,10,10,2,8,6,21,89230.0,67126.0,97991.0,89230.0,106238.0,89230.0,4,17008.0
80123,206.00,1613.00,5,2,10,10,2,8,6,21,63274.0,71641.0,97127.0,63274.0,62773.0,63274.0,2,33853.0
80124,154.00,1384.00,5,2,10,10,2,8,6,21,49618.0,96860.0,35545.0,49618.0,49618.0,49618.0,1,47242.0
80125,154.00,1384.00,5,2,10,10,2,8,6,21,47025.0,124987.0,62245.0,47025.0,47025.0,47025.0,1,77962.0
80126,187.00,1528.00,5,2,10,10,2,8,6,21,55953.0,108920.0,70289.0,55953.0,70409.0,55953.0,1,52967.0
80127,187.00,1516.00,5,2,10,10,2,8,6,21,78250.0,34237.0,77784.0,78250.0,78525.0,78250.0,4,275.0
80128,206.00,1498.00,5,1,11,10,2,8,6,21,130287.0,41467.0,120428.0,130293.0,129730.0,130287.0,0,0.0
80129,154.00,1462.00,5,2,10,10,2,8,6,21,52314.0,36775.0,52053.0,52314.0,52530.0,52314.0,4,216.0
80130,206.00,1613.00,5,2,10,10,2,8,6,21,94136.0,128510.0,91930.0,94136.0,93635.0,94136.0,1,34374.0
80131,206.00,1613.00,5,2,10,10,2,8,6,21,132034.0,60650.0,110926.0,132034.0,131535.0,132034.0,0,0.0
80132,154.00,1542.00,5,2,10,10,2,8,6,21,71432.0,82020.0,58064.0,71432.0,71432.0,71432.0,1,10588.0
80133,206.00,1603.00,5,2,10,10,2,8,6,21,72530.0,106070.0,105628.0,72530.0,72031.0,72530.0,1,33540.0
80134,206.00,1603.00,5,2,10,10,2,8,6,21,106201.0,91778.0,115143.0,106201.0,105703.0,106201.0,2,8942.0
80135,206.00,1681.00,5,2,10,10,2,8,6,21,125408.0,116075.0,137122.0,125408.0,124907.0,125408.0,2,11714.0
80136,206.00,1603.00,5,2,10,10,2,8,6,21,69150.0,51113.0,39403.0,69150.0,68651.0,69150.0,0,0.0
80137,216.00,1655.00,5,2,10,10,2,8,6,21,105523.0,82216.0,103213.0,105523.0,105022.0,105523.0,0,0.0
80138,154.00,1384.00,5,2,10,10,2,8,6,21,82640.0,95699.0,77916.0,82640.0,82640.0,82640.0,1,13059.0
80139,206.00,1603.00,5,2,10,10,2,8,6,21,72996.0,94627.0,52034.0,72996.0,72497.0,72996.0,1,21631.0
80140,154.00,1560.00,5,2,10,10,2,8,6,21,55172.0,53941.0,64824.0,55172.0,55172.0,55172.0,2,9652.0
