seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0
100000,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,54029.0,100362.0,54059.0,54029.0,54029.0,54029.0,1,46333.0
100000,1,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,54144.0,100662.0,54180.0,54144.0,54144.0,54144.0,1,46518.0
100000,2,154.00,1383.00,5,2,10,10,2,8,6,21,1363.00,5,2,2,10,6,73555.0,101244.0,72513.0,73555.0,73555.0,73555.0,1,27689.0
100000,3,154.00,1383.00,5,2,10,10,2,8,6,21,1363.00,5,2,2,10,6,73555.0,101244.0,72513.0,73555.0,73555.0,73555.0,1,27689.0
100001,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,64901.0,70785.0,79441.0,64901.0,64406.0,64901.0,2,14540.0
100001,1,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,67016.0,72296.0,81002.0,67016.0,66521.0,67016.0,2,13986.0
100001,2,206.00,1593.00,5,2,10,10,2,8,6,21,1564.00,5,2,2,10,6,115011.0,72864.0,74324.0,115011.0,114514.0,115011.0,0,0.0
100001,3,206.00,1593.00,5,2,10,10,2,8,6,21,1564.00,5,2,2,10,6,67194.0,72864.0,81557.0,67168.0,66699.0,67194.0,2,14363.0
100002,0,187.00,1399.00,4,2,11,10,2,8,6,21,1512.00,5,2,2,10,6,99001.0,77381.0,78097.0,99001.0,99001.0,99001.0,0,0.0
100002,1,187.00,1399.00,4,2,11,10,2,8,6,21,1512.00,5,2,2,10,6,99417.0,77939.0,79306.0,99417.0,99417.0,99417.0,0,0.0
100002,2,187.00,1390.00,4,2,11,10,2,8,6,21,1473.00,5,2,2,10,6,99764.0,78179.0,84271.0,99764.0,99764.0,99764.0,0,0.0
100002,3,187.00,1390.00,4,2,11,10,2,8,6,21,1473.00,5,2,2,10,6,99764.0,78179.0,84248.0,99764.0,99764.0,99764.0,0,0.0
100003,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,73226.0,72623.0,58202.0,73226.0,52271.0,73226.0,0,0.0
100003,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,73686.0,74638.0,58326.0,73686.0,52722.0,73686.0,1,952.0
