seed,opp_type,t0_cash,t0_p_milk,t0_p_straw,t0_shed_wheat,t0_shed_milk,t0_cows,t0_sheep,t0_hands,t0_quads,t0_unwatered,t0_opp_cash,t0_opp_straws,t1_cash,t1_p_milk,t1_p_straw,t1_shed_wheat,t1_shed_milk,t1_cows,t1_sheep,t1_hands,t1_quads,t1_unwatered,t1_opp_cash,t1_opp_straws,t2_cash,t2_p_milk,t2_p_straw,t2_shed_wheat,t2_shed_milk,t2_cows,t2_sheep,t2_hands,t2_quads,t2_unwatered,t2_opp_cash,t2_opp_straws,t3_cash,t3_p_milk,t3_p_straw,t3_shed_wheat,t3_shed_milk,t3_cows,t3_sheep,t3_hands,t3_quads,t3_unwatered,t3_opp_cash,t3_opp_straws,t4_cash,t4_p_milk,t4_p_straw,t4_shed_wheat,t4_shed_milk,t4_cows,t4_sheep,t4_hands,t4_quads,t4_unwatered,t4_opp_cash,t4_opp_straws,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0
120000,0,826.0,185.0,157.0,1,0,5,2,8,2,1,826.0,6,860.0,185.0,158.0,5,0,5,2,0,2,6,860.0,6,1086.0,186.0,159.0,4,0,5,2,3,2,6,1086.0,6,666.0,186.0,159.0,10,0,5,2,6,2,6,666.0,6,564.0,186.0,159.0,7,0,5,2,9,2,6,564.0,6,69971.0,69139.0,65309.0,69971.0,69971.0,69971.0,0,0.0
120000,1,826.0,185.0,157.0,1,0,5,2,8,2,1,826.0,6,860.0,185.0,158.0,5,0,5,2,0,2,6,860.0,6,1086.0,186.0,159.0,4,0,5,2,3,2,6,1086.0,6,666.0,186.0,159.0,10,0,5,2,6,2,6,666.0,6,564.0,186.0,159.0,7,0,5,2,9,2,6,564.0,6,70070.0,69276.0,65370.0,70070.0,70070.0,70070.0,0,0.0
120000,2,818.0,185.0,157.0,1,0,5,2,8,2,1,823.0,6,851.0,185.0,158.0,5,0,5,2,0,2,6,822.0,6,1077.0,186.0,159.0,4,0,5,2,3,2,6,1048.0,6,657.0,186.0,159.0,10,0,5,2,6,2,6,628.0,6,554.0,186.0,159.0,7,0,5,2,9,2,6,525.0,6,70062.0,69177.0,59189.0,70062.0,70062.0,70062.0,0,0.0
120000,3,818.0,185.0,157.0,1,0,5,2,8,2,1,823.0,6,851.0,185.0,158.0,5,0,5,2,0,2,6,822.0,6,1077.0,186.0,159.0,4,0,5,2,3,2,6,1048.0,6,657.0,186.0,159.0,10,0,5,2,6,2,6,628.0,6,554.0,186.0,159.0,7,0,5,2,9,2,6,525.0,6,70062.0,69177.0,59189.0,70062.0,70062.0,70062.0,0,0.0
120001,0,882.0,185.0,144.0,1,0,5,2,8,2,1,882.0,6,913.0,185.0,144.0,5,0,5,2,0,2,6,913.0,6,1142.0,186.0,145.0,4,0,5,2,3,2,6,1142.0,6,739.0,186.0,145.0,10,0,5,2,6,2,6,739.0,6,639.0,186.0,145.0,7,0,5,2,9,2,6,639.0,6,53784.0,57299.0,58675.0,53784.0,53784.0,53784.0,2,4891.0
120001,1,882.0,185.0,144.0,1,0,5,2,8,2,1,882.0,6,913.0,185.0,144.0,5,0,5,2,0,2,6,913.0,6,1142.0,186.0,145.0,4,0,5,2,3,2,6,1142.0,6,739.0,186.0,145.0,10,0,5,2,6,2,6,739.0,6,639.0,186.0,145.0,7,0,5,2,9,2,6,639.0,6,53824.0,57457.0,58830.0,53824.0,53824.0,53824.0,2,5006.0
120001,2,873.0,185.0,144.0,1,0,5,2,8,2,1,882.0,6,904.0,185.0,144.0,5,0,5,2,0,2,6,882.0,6,1133.0,186.0,145.0,4,0,5,2,3,2,6,1111.0,6,729.0,186.0,145.0,10,0,5,2,6,2,6,707.0,6,629.0,186.0,145.0,7,0,5,2,9,2,6,607.0,6,53655.0,57776.0,65595.0,53655.0,62838.0,53655.0,2,11940.0
120001,3,873.0,185.0,144.0,1,0,5,2,8,2,1,882.0,6,904.0,185.0,144.0,5,0,5,2,0,2,6,882.0,6,1133.0,186.0,145.0,4,0,5,2,3,2,6,1111.0,6,729.0,186.0,145.0,10,0,5,2,6,2,6,707.0,6,629.0,186.0,145.0,7,0,5,2,9,2,6,607.0,6,53655.0,57776.0,65595.0,53655.0,62838.0,53655.0,2,11940.0
120002,0,811.0,198.0,157.0,1,0,5,2,8,2,1,811.0,6,842.0,199.0,158.0,5,0,5,2,0,2,6,842.0,6,1071.0,201.0,159.0,4,0,5,2,3,2,6,1071.0,6,668.0,201.0,159.0,10,0,5,2,6,2,6,668.0,6,568.0,201.0,159.0,7,0,5,2,9,2,6,568.0,6,55189.0,79198.0,50764.0,55189.0,60738.0,55189.0,1,24009.0
120002,1,811.0,198.0,157.0,1,0,5,2,8,2,1,811.0,6,842.0,199.0,158.0,5,0,5,2,0,2,6,842.0,6,1071.0,201.0,159.0,4,0,5,2,3,2,6,1071.0,6,668.0,201.0,159.0,10,0,5,2,6,2,6,668.0,6,568.0,201.0,159.0,7,0,5,2,9,2,6,568.0,6,55478.0,80461.0,51050.0,55478.0,60998.0,55478.0,1,24983.0
