seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0
150000,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,92018.0,70086.0,97619.0,92018.0,73177.0,92018.0,2,5601.0
150000,1,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,93781.0,71687.0,98123.0,93781.0,73660.0,93781.0,2,4342.0
150000,2,187.00,1656.00,5,2,10,10,2,8,6,21,1636.00,5,2,2,10,6,70024.0,71671.0,85031.0,70024.0,76954.0,70024.0,2,15007.0
150000,3,187.00,1656.00,5,2,10,10,2,8,6,21,1636.00,5,2,2,10,6,93565.0,71671.0,97925.0,93565.0,73511.0,93565.0,2,4360.0
150001,0,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,84980.0,75825.0,66707.0,84980.0,55638.0,84980.0,0,0.0
150001,1,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,85253.0,76809.0,67021.0,85253.0,55821.0,85253.0,0,0.0
150001,2,187.00,1508.00,5,2,10,10,2,8,6,21,1488.00,5,2,2,10,6,86119.0,77987.0,66730.0,86119.0,55795.0,86119.0,0,0.0
150001,3,187.00,1508.00,5,2,10,10,2,8,6,21,1488.00,5,2,2,10,6,86119.0,77051.0,66730.0,86119.0,55795.0,86119.0,0,0.0
150002,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,69600.0,75051.0,66849.0,69600.0,80461.0,69600.0,4,10861.0
150002,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,71322.0,75306.0,68598.0,71322.0,82657.0,71322.0,4,11335.0
150002,2,187.00,1499.00,5,2,10,10,2,8,6,21,1470.00,5,2,2,10,6,71730.0,75232.0,69063.0,71730.0,76467.0,71730.0,4,4737.0
150002,3,187.00,1499.00,5,2,10,10,2,8,6,21,1470.00,5,2,2,10,6,71730.0,75232.0,69063.0,71730.0,76467.0,71730.0,4,4737.0
150003,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,81878.0,74904.0,73577.0,81878.0,81878.0,81878.0,0,0.0
150003,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,82242.0,75191.0,74245.0,82242.0,82242.0,82242.0,0,0.0
150003,2,154.00,1374.00,5,2,10,10,2,8,6,21,1345.00,5,2,2,10,6,82576.0,75253.0,76587.0,82576.0,82576.0,82576.0,0,0.0
150003,3,154.00,1374.00,5,2,10,10,2,8,6,21,1345.00,5,2,2,10,6,82576.0,75253.0,76587.0,82576.0,82576.0,82576.0,0,0.0
150004,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,67016.0,83041.0,67091.0,67016.0,67016.0,67016.0,1,16025.0
150004,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,67489.0,83365.0,67414.0,67489.0,67489.0,67489.0,1,15876.0
150004,2,154.00,1374.00,5,2,10,10,2,8,6,21,1345.00,5,2,2,10,6,67563.0,83707.0,72776.0,67563.0,67563.0,67563.0,1,16144.0
150004,3,154.00,1374.00,5,2,10,10,2,8,6,21,1345.00,5,2,2,10,6,67563.0,83707.0,72776.0,67563.0,67563.0,67563.0,1,16144.0
150005,0,206.00,1693.00,5,2,10,10,2,8,6,21,1693.00,5,2,2,10,6,79538.0,86289.0,90787.0,79538.0,79042.0,79538.0,2,11249.0
150005,1,206.00,1693.00,5,2,10,10,2,8,6,21,1693.00,5,2,2,10,6,79809.0,86392.0,91620.0,79809.0,79313.0,79809.0,2,11811.0
150005,2,206.00,1682.00,5,2,10,10,2,8,6,21,1660.00,5,2,2,10,6,79710.0,86565.0,91805.0,79710.0,79212.0,79710.0,2,12095.0
150005,3,206.00,1682.00,5,2,10,10,2,8,6,21,1660.00,5,2,2,10,6,79729.0,86565.0,91835.0,79729.0,79233.0,79729.0,2,12106.0
150006,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,126244.0,74456.0,124090.0,126244.0,125743.0,126244.0,0,0.0
150006,1,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,128152.0,74590.0,125792.0,128152.0,127651.0,128152.0,0,0.0
