seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,score_a0,score_a1,score_a2,score_a3,score_a4,score_a5,best_a,gain_vs_a0,alpha_label
170000,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,102008.0,45374.0,95338.0,102008.0,102008.0,102008.0,0,0.0,0
170001,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,73894.0,74016.0,76442.0,73894.0,73393.0,73894.0,2,2548.0,2
170002,0,206.00,1492.00,5,1,11,10,2,8,6,21,1607.00,5,2,2,10,6,60339.0,81703.0,66374.0,60342.0,49065.0,60339.0,1,21364.0,2
170003,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,93482.0,90331.0,93012.0,93482.0,92984.0,93482.0,0,0.0,0
170004,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,110213.0,109709.0,100181.0,110213.0,99887.0,110213.0,0,0.0,0
170005,0,187.00,1528.00,5,2,10,10,2,8,6,21,1528.00,5,2,2,10,6,92065.0,55492.0,77466.0,92065.0,109675.0,92065.0,4,17610.0,2
170006,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,82161.0,111785.0,70560.0,82161.0,81662.0,82161.0,1,29624.0,2
170007,0,154.00,1393.00,5,2,10,10,2,8,6,21,1280.00,4,2,2,10,6,69351.0,91677.0,39482.0,69351.0,69351.0,69351.0,1,22326.0,2
170008,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,104028.0,64250.0,83499.0,104028.0,104245.0,104028.0,4,217.0,0
170009,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,91906.0,69036.0,90958.0,91906.0,101843.0,91906.0,4,9937.0,2
170010,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,81888.0,99130.0,65737.0,81888.0,81387.0,81888.0,1,17242.0,2
170011,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,53091.0,61634.0,59781.0,53091.0,53091.0,53091.0,1,8543.0,2
170012,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,120845.0,63336.0,116787.0,120845.0,120344.0,120845.0,0,0.0,0
170013,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,72932.0,78027.0,62431.0,72932.0,72932.0,72932.0,1,5095.0,2
170014,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,60958.0,83975.0,77916.0,60958.0,60459.0,60958.0,1,23017.0,2
170015,0,216.00,1665.00,5,2,10,10,2,8,6,21,1665.00,5,2,2,10,6,82656.0,118392.0,94513.0,82656.0,82155.0,82656.0,1,35736.0,2
170016,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,68435.0,69546.0,67649.0,68435.0,67936.0,68435.0,1,1111.0,1
170017,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,88964.0,84520.0,88624.0,88964.0,88466.0,88964.0,0,0.0,0
170018,0,187.00,1528.00,5,2,10,10,2,8,6,21,1528.00,5,2,2,10,6,56169.0,81166.0,51823.0,56169.0,36289.0,56169.0,1,24997.0,2
170019,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,102880.0,101355.0,107635.0,102850.0,102380.0,102880.0,2,4755.0,2
170020,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,153999.0,125807.0,145673.0,153999.0,153598.0,153999.0,0,0.0,0
170021,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,55079.0,44192.0,55053.0,55079.0,55079.0,55079.0,0,0.0,0
170022,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,107584.0,88548.0,104456.0,107584.0,107831.0,107584.0,4,247.0,0
170023,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,44540.0,71260.0,54038.0,44540.0,44041.0,44540.0,1,26720.0,2
170024,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,105638.0,84245.0,127339.0,105638.0,105137.0,105638.0,2,21701.0,2
170025,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,81570.0,68856.0,124306.0,81570.0,81071.0,81570.0,2,42736.0,2
170026,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,69376.0,47618.0,71774.0,69376.0,69635.0,69376.0,2,2398.0,2
170027,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,39974.0,77354.0,32583.0,39974.0,39974.0,39974.0,1,37380.0,2
170028,0,154.00,1403.00,5,2,10,10,2,8,6,21,1403.00,5,2,2,10,6,21049.0,47242.0,25755.0,21049.0,28753.0,21049.0,1,26193.0,2
170029,0,154.00,1391.00,5,2,10,10,2,8,6,21,1391.00,5,2,2,10,6,60143.0,103955.0,56081.0,60143.0,60143.0,60143.0,1,43812.0,2
170030,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,67929.0,65240.0,74957.0,67929.0,67428.0,67929.0,2,7028.0,2
170031,0,187.00,1454.00,4,2,11,10,2,8,6,21,1518.00,5,2,2,10,6,70379.0,34474.0,83041.0,70379.0,88111.0,70379.0,4,17732.0,2
170032,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,79671.0,90589.0,70653.0,79671.0,79671.0,79671.0,1,10918.0,2
170033,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,88296.0,61209.0,97053.0,88296.0,86552.0,88296.0,2,8757.0,2
170034,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,44352.0,93571.0,58961.0,44352.0,44352.0,44352.0,1,49219.0,2
170035,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,110760.0,69491.0,121120.0,110760.0,110261.0,110760.0,2,10360.0,2
170036,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,107817.0,57869.0,80072.0,107817.0,107817.0,107817.0,0,0.0,0
170037,0,206.00,1578.00,4,2,11,10,2,8,6,21,1460.00,4,1,2,10,6,120423.0,81583.0,113219.0,120423.0,119875.0,120423.0,0,0.0,0
170038,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,75823.0,61001.0,93482.0,75823.0,75322.0,75823.0,2,17659.0,2
170039,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,103769.0,103362.0,116506.0,103769.0,103268.0,103769.0,2,12737.0,2
170040,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,76751.0,76797.0,63286.0,76751.0,76996.0,76751.0,4,245.0,0
170041,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,96824.0,86911.0,89999.0,96824.0,96323.0,96824.0,0,0.0,0
170042,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,59299.0,84269.0,61040.0,59299.0,58801.0,59299.0,1,24970.0,2
170043,0,154.00,1403.00,5,2,10,10,2,8,6,21,1403.00,5,2,2,10,6,31275.0,79032.0,38322.0,31275.0,31404.0,31275.0,1,47757.0,2
170044,0,216.00,1659.00,5,2,10,10,2,8,6,21,1544.00,5,1,2,10,6,98256.0,124532.0,96693.0,98256.0,97729.0,98256.0,1,26276.0,2
170045,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,35713.0,35902.0,35562.0,35713.0,35421.0,35713.0,1,189.0,0
170046,0,154.00,1387.00,5,2,10,10,2,8,6,21,1274.00,4,2,2,10,6,37008.0,97796.0,43839.0,37008.0,37008.0,37008.0,1,60788.0,2
170047,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,78376.0,69151.0,77589.0,78376.0,78376.0,78376.0,0,0.0,0
170048,0,216.00,1662.00,5,2,10,10,2,8,6,21,1662.00,5,2,2,10,6,124585.0,78220.0,115523.0,124585.0,124086.0,124585.0,0,0.0,0
170049,0,154.00,1542.00,5,2,10,10,2,8,6,21,1542.00,5,2,2,10,6,63946.0,80934.0,93795.0,63946.0,63946.0,63946.0,2,29849.0,2
170050,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,57117.0,123803.0,43245.0,57117.0,56618.0,57117.0,1,66686.0,2
170051,0,187.00,1667.00,5,2,10,10,2,8,6,21,1667.00,5,2,2,10,6,76009.0,80144.0,76764.0,76009.0,81780.0,76009.0,4,5771.0,2
170052,0,206.00,1622.00,5,2,10,10,2,8,6,21,1622.00,5,2,2,10,6,90121.0,67616.0,89716.0,90121.0,89625.0,90121.0,0,0.0,0
170053,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,101919.0,89355.0,93283.0,101919.0,108246.0,101919.0,4,6327.0,2
170054,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,40794.0,74789.0,41842.0,40794.0,37133.0,40794.0,1,33995.0,2
170055,0,187.00,1560.00,4,2,11,10,2,8,6,21,1679.00,5,2,2,10,6,86374.0,104302.0,82127.0,86367.0,105740.0,86374.0,4,19366.0,2
170056,0,154.00,1280.00,4,2,11,10,2,8,6,21,1393.00,5,2,2,10,6,56550.0,58463.0,62076.0,56550.0,56550.0,56550.0,2,5526.0,2
170057,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,93822.0,50914.0,113636.0,93822.0,93323.0,93822.0,2,19814.0,2
170058,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,74913.0,87438.0,74252.0,74913.0,74414.0,74913.0,1,12525.0,2
170059,0,187.00,1516.00,5,2,10,10,2,8,6,21,1516.00,5,2,2,10,6,110284.0,83473.0,117890.0,110284.0,119823.0,110284.0,4,9539.0,2
170060,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,99060.0,101611.0,70196.0,99060.0,98561.0,99060.0,1,2551.0,2
170061,0,154.00,1403.00,5,2,10,10,2,8,6,21,1403.00,5,2,2,10,6,50042.0,43809.0,45042.0,50042.0,50035.0,50042.0,0,0.0,0
170062,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,52581.0,52077.0,48101.0,52581.0,52080.0,52581.0,0,0.0,0
170063,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,82494.0,48202.0,64680.0,82494.0,56579.0,82494.0,0,0.0,0
170064,0,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,108176.0,88086.0,101439.0,108176.0,107678.0,108176.0,0,0.0,0
170065,0,216.00,1677.00,5,2,10,10,2,8,6,21,1558.00,4,2,2,10,6,103987.0,116217.0,115918.0,104015.0,103518.0,103987.0,1,12230.0,2
170066,0,154.00,1394.00,5,2,10,10,2,8,6,21,1394.00,5,2,2,10,6,38256.0,87002.0,33660.0,38256.0,38256.0,38256.0,1,48746.0,2
170067,0,154.00,1387.00,5,2,10,10,2,8,6,21,1274.00,4,2,2,10,6,72578.0,70349.0,69523.0,72578.0,72578.0,72578.0,0,0.0,0
170068,0,154.00,1542.00,4,2,11,10,2,8,6,21,1542.00,5,2,2,10,6,91626.0,77765.0,63098.0,91626.0,91626.0,91626.0,0,0.0,0
170069,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,59558.0,27367.0,39844.0,59558.0,59558.0,59558.0,0,0.0,0
170070,0,154.00,1462.00,5,2,10,10,2,8,6,21,1462.00,5,2,2,10,6,107471.0,73505.0,110983.0,107471.0,107711.0,107471.0,2,3512.0,2
170071,0,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,60938.0,89378.0,69612.0,60938.0,47645.0,60938.0,1,28440.0,2
170072,0,187.00,1676.00,5,2,10,10,2,8,6,21,1676.00,5,2,2,10,6,105102.0,106073.0,103736.0,105102.0,104580.0,105102.0,1,971.0,1
170073,0,206.00,1681.00,5,2,10,10,2,8,6,21,1681.00,5,2,2,10,6,110449.0,56363.0,87127.0,110449.0,109951.0,110449.0,0,0.0,0
170074,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,73869.0,99521.0,64720.0,73869.0,73370.0,73869.0,1,25652.0,2
170075,0,187.00,1528.00,5,2,10,10,2,8,6,21,1528.00,5,2,2,10,6,63699.0,69903.0,84140.0,63699.0,43993.0,63699.0,2,20441.0,2
170076,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,90992.0,120916.0,97811.0,90992.0,90491.0,90992.0,1,29924.0,2
170077,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,65779.0,77739.0,61769.0,65779.0,65779.0,65779.0,1,11960.0,2
170078,0,206.00,1610.00,5,2,10,10,2,8,6,21,1610.00,5,2,2,10,6,42535.0,42009.0,69386.0,42535.0,42034.0,42535.0,2,26851.0,2
