seed,opp_type,p_milk,cash,cows,sheep,shed_wheat,hands,quads,day,unwatered,mature,opp_cash,opp_cows,opp_sheep,opp_quads,opp_workers,opp_straws,base_hero,base_opp,base_margin,h_a0,h_a1,h_a2,h_a3,h_a4,h_a5,o_a0,o_a1,o_a2,o_a3,o_a4,o_a5,d_m0,d_m1,d_m2,d_m3,d_m4,d_m5,best_a,max_margin_gain
200000,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,108687.0,109455.0,-768.0,108687.0,87237.0,100755.0,108687.0,108189.0,108687.0,109455.0,86984.0,107594.0,109455.0,109453.0,109455.0,0.0,1021.0,-6071.0,0.0,-496.0,0.0,1,1021.0
210000,1,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,87546.0,87581.0,-35.0,87546.0,80045.0,96327.0,87546.0,87045.0,87546.0,87581.0,81063.0,102696.0,87581.0,87576.0,87581.0,0.0,-983.0,-6334.0,0.0,-496.0,0.0,0,0.0
200001,0,206.00,1613.00,5,2,10,10,2,8,6,21,1613.00,5,2,2,10,6,100275.0,97475.0,2800.0,100275.0,93076.0,85160.0,100275.0,99777.0,100275.0,97475.0,91532.0,90161.0,97475.0,97473.0,97475.0,0.0,-1256.0,-7801.0,0.0,-496.0,0.0,0,0.0
210001,1,216.00,1655.00,5,2,10,10,2,8,6,21,1655.00,5,2,2,10,6,82348.0,81494.0,854.0,82348.0,56201.0,84602.0,82348.0,81847.0,82348.0,81494.0,58089.0,92290.0,81494.0,81489.0,81494.0,0.0,-2742.0,-8542.0,0.0,-496.0,0.0,0,0.0
200002,0,206.00,1603.00,5,2,10,10,2,8,6,21,1603.00,5,2,2,10,6,115026.0,115270.0,-244.0,115026.0,114538.0,108424.0,115026.0,114528.0,115026.0,115270.0,115964.0,118732.0,115270.0,115268.0,115270.0,0.0,-1182.0,-10064.0,0.0,-496.0,0.0,0,0.0
210002,1,187.00,1509.00,5,2,10,10,2,8,6,21,1509.00,5,2,2,10,6,46509.0,45708.0,801.0,46509.0,68963.0,51962.0,46509.0,51405.0,46509.0,45708.0,65215.0,55478.0,45708.0,52324.0,45708.0,0.0,2947.0,-4317.0,0.0,-1720.0,0.0,1,2947.0
200003,0,206.00,1613.00,4,2,11,10,2,8,6,21,1613.00,5,2,2,10,6,96348.0,100289.0,-3941.0,96348.0,62785.0,94224.0,96348.0,96077.0,96348.0,100289.0,63089.0,106197.0,100322.0,100541.0,100289.0,0.0,3637.0,-8032.0,-33.0,-523.0,0.0,1,3637.0
210003,1,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,60671.0,55990.0,4681.0,60671.0,121494.0,47178.0,60671.0,60671.0,60671.0,55990.0,121099.0,48776.0,55990.0,55990.0,55990.0,0.0,-4286.0,-6279.0,0.0,0.0,0.0,0,0.0
200004,0,154.00,1384.00,5,2,10,10,2,8,6,21,1384.00,5,2,2,10,6,70481.0,69769.0,712.0,70481.0,79702.0,71547.0,70481.0,70481.0,70481.0,69769.0,78536.0,76384.0,69769.0,69769.0,69769.0,0.0,454.0,-5549.0,0.0,0.0,0.0,1,454.0
210004,1,187.00,1519.00,5,2,10,10,2,8,6,21,1519.00,5,2,2,10,6,80107.0,77309.0,2798.0,80107.0,79603.0,76061.0,80107.0,64799.0,80107.0,77309.0,77012.0,80629.0,77309.0,65972.0,77309.0,0.0,-207.0,-7366.0,0.0,-3971.0,0.0,0,0.0
