seed,opp_type,base_hero,base_opp,base_margin,best_action,max_margin_delta
400000,0,132575.0,132301.0,274.0,0,0.0
410000,1,52841.0,52028.0,813.0,0,0.0
400001,0,46075.0,46163.0,-88.0,7,606.0
410001,1,105084.0,104626.0,458.0,0,0.0
400002,0,78215.0,78183.0,32.0,0,0.0
410002,1,73815.0,69374.0,4441.0,0,0.0
400003,0,95153.0,94850.0,303.0,0,0.0
410003,1,62537.0,62112.0,425.0,0,0.0
400004,0,84355.0,84447.0,-92.0,0,0.0
410004,1,110575.0,102568.0,8007.0,0,0.0
400005,0,56010.0,55798.0,212.0,0,0.0
410005,1,56975.0,57440.0,-465.0,11,225.0
400006,0,84821.0,88554.0,-3733.0,7,3503.0
410006,1,123584.0,126391.0,-2807.0,2,2777.0
400007,0,40295.0,41208.0,-913.0,1,6629.0
410007,1,79287.0,78471.0,816.0,7,1714.0
400008,0,70467.0,69431.0,1036.0,0,0.0
410008,1,72808.0,73271.0,-463.0,6,256.0
400009,0,68612.0,74099.0,-5487.0,7,5379.0
410009,1,59655.0,59846.0,-191.0,11,359.0
400010,0,54746.0,55428.0,-682.0,2,111.0
410010,1,32571.0,32951.0,-380.0,2,1925.0
400011,0,65612.0,65436.0,176.0,7,1791.0
410011,1,116823.0,117288.0,-465.0,0,0.0
400012,0,88281.0,91035.0,-2754.0,2,191.0
410012,1,69072.0,75696.0,-6624.0,1,4008.0
400013,0,55170.0,56054.0,-884.0,11,690.0
410013,1,83079.0,79436.0,3643.0,0,0.0
400014,0,47963.0,47923.0,40.0,0,0.0
410014,1,78362.0,76937.0,1425.0,0,0.0
400015,0,78157.0,78152.0,5.0,0,0.0
410015,1,105647.0,105723.0,-76.0,6,258.0
400016,0,79987.0,79805.0,182.0,0,0.0
410016,1,89733.0,95708.0,-5975.0,1,6477.0
400017,0,79174.0,79413.0,-239.0,1,3038.0
410017,1,50729.0,50696.0,33.0,7,2719.0
400018,0,72309.0,71706.0,603.0,0,0.0
410018,1,52565.0,52871.0,-306.0,1,2033.0
400019,0,100439.0,99462.0,977.0,1,1143.0
410019,1,116517.0,116814.0,-297.0,2,335.0
400020,0,57407.0,50350.0,7057.0,0,0.0
410020,1,87137.0,91105.0,-3968.0,8,900.0
400021,0,29513.0,29529.0,-16.0,11,124.0
410021,1,90988.0,90570.0,418.0,0,0.0
400022,0,98444.0,105430.0,-6986.0,1,3718.0
410022,1,80053.0,79475.0,578.0,0,0.0
400023,0,87280.0,89207.0,-1927.0,11,418.0
410023,1,101092.0,100668.0,424.0,0,0.0
400024,0,31055.0,30735.0,320.0,7,160.0
410024,1,97186.0,95844.0,1342.0,0,0.0
400025,0,98709.0,98709.0,0.0,1,1245.0
410025,1,38334.0,38637.0,-303.0,2,2444.0
400026,0,86635.0,86761.0,-126.0,1,330.0
410026,1,82420.0,82160.0,260.0,2,207.0
400027,0,51490.0,50076.0,1414.0,1,2545.0
410027,1,54197.0,54127.0,70.0,1,835.0
400028,0,126758.0,128062.0,-1304.0,2,618.0
410028,1,123239.0,130383.0,-7144.0,1,6152.0
400029,0,68917.0,68015.0,902.0,0,0.0
410029,1,54059.0,52851.0,1208.0,1,2072.0
400030,0,52745.0,52854.0,-109.0,0,0.0
410030,1,29292.0,29295.0,-3.0,7,530.0
400031,0,54282.0,54386.0,-104.0,0,0.0
410031,1,92108.0,84953.0,7155.0,0,0.0
400032,0,119427.0,117432.0,1995.0,0,0.0
410032,1,71251.0,69563.0,1688.0,7,1306.0
