episode_id,date,seat,opp_sub_id,opp_rating,apex35_score,opp_score,apex35_margin,apex4_score,apex4_margin,delta_mcv,apex4_outcome,classification,rules_triggered
92873490,2026-08-14,1,55497749,1149.6,61892,67021,-5129,65252,-1769,3360,LOSS,MULTI_RULE,RULE_01+RULE_02
92821576,2026-08-14,1,55493956,1041.8,65772,66490,-718,69132,2642,3360,WIN,MULTI_RULE,RULE_01+RULE_02
92820867,2026-08-14,1,55437267,1210.8,64106,64705,-599,67316,2611,3210,WIN,MULTI_RULE,RULE_01+RULE_03
92792740,2026-08-13,1,55490888,1171.1,78190,81542,-3352,81400,-142,3210,LOSS,MULTI_RULE,RULE_01+RULE_03
92782407,2026-08-13,1,55491894,1049.6,58995,83824,-24829,62355,-21469,3360,LOSS,MULTI_RULE,RULE_01+RULE_02
92781573,2026-08-13,1,55491492,1046.3,40581,44116,-3535,43271,-845,2690,LOSS,MULTI_RULE,RULE_01+RULE_04
92760409,2026-08-13,1,55489796,1284.6,53075,62355,-9280,55765,-6590,2690,LOSS,MULTI_RULE,RULE_01+RULE_04
92753772,2026-08-13,0,55490433,1055.8,37023,50334,-13311,39713,-10621,2690,LOSS,MULTI_RULE,RULE_01+RULE_04
92745505,2026-08-13,1,55489697,1106.3,87342,101420,-14078,90832,-10588,3490,LOSS,MULTI_RULE,RULE_01+RULE_02
92744887,2026-08-13,1,55427130,1133.8,61604,62556,-952,64964,2408,3360,WIN,MULTI_RULE,RULE_01+RULE_02
92721694,2026-08-13,0,55479991,1063.9,29835,31604,-1769,32525,921,2690,WIN,MULTI_RULE,RULE_01+RULE_04
92710604,2026-08-13,0,55449124,1181.9,82266,82685,-419,85756,3071,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92697574,2026-08-13,1,55486730,1238.1,30536,37912,-7376,33226,-4686,2690,LOSS,MULTI_RULE,RULE_01+RULE_04
92685417,2026-08-13,0,55424868,1153.7,58580,59640,-1060,61790,2150,3210,WIN,MULTI_RULE,RULE_01+RULE_03
92684467,2026-08-13,1,55473510,1134.4,95885,99163,-3278,99375,212,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92682596,2026-08-13,0,55449124,1180.6,63447,64890,-1443,66657,1767,3210,WIN,MULTI_RULE,RULE_01+RULE_03
92680700,2026-08-13,1,55484024,1132.8,84752,87246,-2494,88242,996,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92678835,2026-08-13,1,55430675,1211.7,85802,89300,-3498,89292,-8,3490,LOSS,MULTI_RULE,RULE_01+RULE_02
92677877,2026-08-13,1,55257118,1164.1,65382,67446,-2064,68592,1146,3210,WIN,MULTI_RULE,RULE_01+RULE_03
92676926,2026-08-13,0,55286551,1164.8,93267,95494,-2227,96757,1263,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92673149,2026-08-13,1,55293479,1198.3,65864,72159,-6295,69074,-3085,3210,LOSS,MULTI_RULE,RULE_01+RULE_03
92672213,2026-08-13,1,55436474,1181.4,42298,50345,-8047,44988,-5357,2690,LOSS,MULTI_RULE,RULE_01+RULE_04
92670343,2026-08-13,1,55266412,1165.8,37513,39076,-1563,40203,1127,2690,WIN,MULTI_RULE,RULE_01+RULE_04
92665598,2026-08-13,1,55247701,1176.1,124344,125630,-1286,127834,2204,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92663703,2026-08-13,0,55275139,1202.9,60274,61554,-1280,63484,1930,3210,WIN,MULTI_RULE,RULE_01+RULE_03
92662787,2026-08-13,0,55482597,1154.5,109693,112074,-2381,113183,1109,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92662754,2026-08-13,1,55476677,1286.0,124237,127177,-2940,127727,550,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92659893,2026-08-13,0,55482179,1166.6,93228,93816,-588,96718,2902,3490,WIN,MULTI_RULE,RULE_01+RULE_02
92657061,2026-08-13,1,55483232,1098.0,83211,100011,-16800,86701,-13310,3490,LOSS,MULTI_RULE,RULE_01+RULE_02
92654227,2026-08-13,0,55471702,952.0,108473,109623,-1150,111963,2340,3490,WIN,MULTI_RULE,RULE_01+RULE_02
